Profiling for K=3, Dimensionality=2, Dataset Size=100
         5253 function calls in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      729    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      700    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(argmin)
      700    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
      700    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      700    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(mean)
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
       29    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      701    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
      700    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
        7    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
        7    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       21    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3308(_mean_dispatcher)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       21    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2922(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        7    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


Profiling for K=3, Dimensionality=2, Dataset Size=1000
         225578 function calls in 0.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32000    0.012    0.000    0.071    0.000 <__array_function__ internals>:177(argmin)
    32129    0.010    0.000    0.058    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    32000    0.017    0.000    0.045    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
    32000    0.011    0.000    0.028    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
    32000    0.014    0.000    0.014    0.000 {method 'argmin' of 'numpy.ndarray' objects}
    32001    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
    32000    0.003    0.000    0.003    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
       96    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(mean)
       96    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
       96    0.000    0.000    0.001    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
      129    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
       96    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:66(_count_reduce_items)
       32    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2402(array_equal)
       32    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:60(_all)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(prod)
       96    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      192    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2927(prod)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
       96    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3308(_mean_dispatcher)
       96    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       96    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       32    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2398(_array_equal_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2922(_prod_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


Profiling for K=3, Dimensionality=2, Dataset Size=10000
         2451725 function calls in 0.876 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   350000    0.148    0.000    0.868    0.000 <__array_function__ internals>:177(argmin)
   350141    0.127    0.000    0.697    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   350000    0.214    0.000    0.561    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1223(argmin)
   350000    0.141    0.000    0.347    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
   350000    0.173    0.000    0.173    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   350001    0.033    0.000    0.033    0.000 {built-in method builtins.getattr}
   350000    0.032    0.000    0.032    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:1219(_argmin_dispatcher)
      105    0.000    0.000    0.008    0.000 <__array_function__ internals>:177(mean)
      105    0.000    0.000    0.008    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:3313(mean)
      105    0.001    0.000    0.008    0.000 C:\Users\julio\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:163(_mean)
      141    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
